datetime,Global_active_power,trend_30,day_of_week,rolling_mean_7,rolling_std_7,z_score,anomaly
2006-12-16,3.0534747474747475,,Saturday,,,,False
2006-12-17,2.354486111111111,,Sunday,,,,False
2006-12-18,1.5304347222222223,,Monday,,,,False
2006-12-19,1.1570791666666669,,Tuesday,,,,False
2006-12-20,1.5456583333333334,,Wednesday,,,,False
2006-12-21,1.193757997218359,,Thursday,,,,False
2006-12-22,1.6259291666666669,,Friday,1.780117177813301,0.6861023787695637,-0.224730325848965,False
2006-12-23,3.314851388888889,,Saturday,1.8174566980153213,0.7690501462809828,1.9470702893884824,False
2006-12-24,1.7708416666666669,,Sunday,1.7340789202375433,0.731862710121271,0.05023175237748064,False
2006-12-25,1.9049444444444443,,Monday,1.7875803091264324,0.7281741362799405,0.16117591860320105,False
2006-12-26,2.7320208333333333,,Tuesday,2.0125719757930987,0.7440332540862729,0.9669579331151944,False
2006-12-27,1.0616388888888888,,Wednesday,1.943426340872464,0.8138704292424082,-1.0834494291731271,False
2006-12-28,1.4393319444444443,,Thursday,1.9785083333333335,0.7807905998878315,-0.6905518444591257,False
2006-12-29,2.204438888888889,,Friday,2.0611525793650793,0.7677592735346139,0.18662921369109262,False
2006-12-30,1.939709318497914,,Saturday,1.8647037121663685,0.5337865477313046,0.14051610451843277,False
2006-12-31,2.426525,,Sunday,1.9583727597854161,0.5708158362872772,0.8201458516980852,False
2007-01-01,1.909030555555556,,Monday,1.9589564899441465,0.5707541789582535,-0.08747362039418763,False
2007-01-02,0.8814138888888889,,Tuesday,1.6945840693092258,0.5814897730990155,-1.3984255923996638,False
2007-01-03,0.7042041666666666,,Wednesday,1.6435219661346228,0.6571102797842894,-1.4294675161318546,False
2007-01-04,2.2634805555555557,,Thursday,1.7612574820076385,0.6875544880883846,0.7304483968161616,False
2007-01-05,1.8842805555555555,,Friday,1.7155205772457338,0.6633838645613889,0.2543926485480637,False
2007-01-06,1.047484722222222,,Saturday,1.5880599206349206,0.6979442061714246,-0.7745249457374619,False
2007-01-07,1.6997361111111111,,Sunday,1.4842329365079365,0.5995476452214914,0.35944295056577374,False
2007-01-08,1.5565,,Monday,1.4338714285714285,0.5720955360615887,0.21434981344684012,False
2007-01-09,1.2979541666666667,,Tuesday,1.4933771825396824,0.5247598561777042,-0.37240466009815704,False
2007-01-10,1.496388888888889,,Wednesday,1.6065464285714286,0.3957696117682469,-0.27833753882813317,False
2007-01-11,1.5661069444444444,,Thursday,1.5069216269841268,0.27092394708848594,0.21845731282287584,False
2007-01-12,1.014788888888889,,Friday,1.3827085317460317,0.2683875712373719,-1.3708520150947714,False
2007-01-13,2.213065277777777,,Saturday,1.5492200396825397,0.36860685417074474,1.8009573901947393,False
2007-01-14,2.0902126476719944,1.7626589996213597,Sunday,1.60500240204838,0.4210032240836681,1.1525095720577812,False
2007-01-15,1.4921375,1.710614424705535,Monday,1.5958077591912372,0.422937446328669,-0.24511960359895416,False
2007-01-16,1.1711138888888888,1.6711686839647941,Tuesday,1.5776877195086976,0.4401905403852616,-0.9236314580135435,False
2007-01-17,1.977561111111111,1.686072896927757,Wednesday,1.6464266083975865,0.46238877159805103,0.7161387193056147,False
2007-01-18,1.2649041666666667,1.6896670635944238,Thursday,1.603397640143618,0.48459053797398516,-0.6985144094891987,False
2007-01-19,1.0280833333333337,1.6724145635944236,Friday,1.6052968464928248,0.48191786603755526,-1.1977425072564327,False
2007-01-20,2.1762027777777777,1.7051627229464044,Saturday,1.6000307750642533,0.4743110746807553,1.2147555338051694,False
2007-01-21,2.366154166666667,1.729836889613071,Sunday,1.6394509920634923,0.5300338168076577,1.3710505849985901,False
2007-01-22,1.5142319444444443,1.669816241464923,Monday,1.6426073412698414,0.5290752764523299,-0.24264108065341405,False
2007-01-23,1.2344722222222222,1.6519372599834414,Tuesday,1.6516585317460317,0.5201311726121445,-0.8020790360029052,False
2007-01-24,2.074898611111111,1.6576023988723303,Wednesday,1.6655638888888888,0.5314735460930865,0.7701883287160415,False
